Market,Active Rentals,Rental Demand Score,Active Daily Rate,Occupancy Rate %,Revenue,Entire Home Rentals,Entire Home Rentals %,Private Room Rentals,Private Room Rentals %,Shared Room Rentals,Shared Room Rentals %,Studio,Studio %,1 Bedroom,1 Bedroom %,2 Bedroom,2 Bedroom %,3 Bedroom,3 Bedroom %,4 Bedroom,4 Bedroom %,5+ Bedroom,5+ Bedroom %,Air Conditioning,Heating,Washer,Dryer,Kitchen,Parking,Internet,Cable TV,Pool,Hot Tub,Q1 19,Q2 19,Q3 19,Q4 19,2019 Growth %,Q1 20,Q2 20,2020 Growth %,181 - 270 Days Available,181 - 270 Days Available %,271 - 365 Days Available,271 - 365 Days Available %,181 - 270 Days Booked,181 - 270 Days Booked %,271 - 365 Days Booked,271 - 365 Days Booked %,Rental Activity Property Count,Accuracy,Check In,Cleanliness,Communication,Location,Value,Overall Rating,Map Url
Dallas,3381,85,124,65,1780,2825,84,467,14,89,3,215,8,1288,46,778,28,333,12,120,4,91,3,97,89,88,93,93,86,96,27,53,9,4353,4589,4928,5182,19,5376,4860,-10,1206,20,874,14,588,10,70,1,2080,4.78,4.79,4.72,4.81,4.83,4.72,4.6,maps/dallas.png
Garland,109,72,155,58,1883,47,43,61,56,1,1,3,6,9,19,8,17,7,15,16,34,4,9,98,94,84,90,86,93,92,19,25,7,90,108,138,150,67,166,147,-11,24,25,17,18,9,9,0,0,33,4.71,4.83,4.71,4.83,4.77,4.66,4.57,maps/garland.png
Plano,441,82,145,61,1840,318,72,122,28,1,0,68,21,101,32,48,15,50,16,33,10,18,6,95,85,86,88,92,95,96,19,53,12,462,530,582,565,22,589,578,-2,112,21,53,10,41,8,5,1,165,4.82,4.84,4.75,4.84,4.93,4.77,4.68,maps/plano.png
Grand Prairie,164,92,142,61,1824,84,51,78,48,2,1,3,4,23,27,9,11,26,31,16,19,7,8,99,96,83,90,89,95,96,20,27,10,143,162,192,205,43,221,218,-1,27,18,27,18,20,13,4,3,54,4.86,4.92,4.81,4.9,4.94,4.82,4.78,maps/grand-prairie.png
Richardson,119,94,138,65,1815,65,55,53,45,1,1,5,8,20,31,10,15,16,25,7,11,7,11,98,95,91,95,92,95,99,21,40,12,138,160,196,204,48,208,186,-11,24,20,14,11,16,13,0,0,38,4.82,4.86,4.8,4.86,4.9,4.76,4.68,maps/richardson.png
Fort-Worth,1055,81,133,58,1782,823,78,220,21,12,1,86,10,279,34,231,28,164,20,44,5,19,2,96,96,84,92,93,75,97,31,34,5,1073,1166,1261,1420,32,1543,1484,-4,353,24,291,20,168,12,8,1,1452,4.83,4.83,4.78,4.84,4.86,4.77,4.62,maps/fort-worth.png
Arlington,360,69,171,56,2100,283,79,64,18,13,4,14,5,91,32,68,24,56,20,36,13,18,6,97,94,83,90,90,92,94,28,34,11,514,539,561,580,13,581,513,-12,151,25,71,12,34,6,4,1,222,4.81,4.85,4.75,4.87,4.87,4.77,4.66,maps/arlington.png
Irving,390,86,138,67,1785,227,58,131,34,32,8,62,27,57,25,36,16,28,12,25,11,19,8,95,86,82,86,92,90,97,23,40,10,396,416,456,478,21,547,534,-2,52,12,48,11,19,4,11,3,190,4.82,4.84,4.73,4.85,4.86,4.76,4.61,maps/irving.png
Rowlett,47,84,178,57,2132,27,57,20,43,0,0,1,4,5,19,9,33,12,44,0,0,0,0,98,97,88,93,90,91,91,24,26,13,43,55,55,65,51,69,63,-9,8,17,9,19,5,11,1,2,17,4.76,4.88,4.74,4.78,4.8,4.78,4.75,maps/rowlett.png
McKinney,148,92,139,65,1912,99,67,48,32,1,1,11,11,18,18,20,20,34,34,14,14,2,2,98,95,84,93,87,94,95,22,24,12,200,211,220,244,22,229,205,-10,38,21,27,15,25,14,2,1,102,4.88,4.92,4.88,4.92,4.95,4.85,4.82,maps/mckinney.png
