Market,Active Rentals,Rental Demand Score,Average Daily Rate,Occupancy Rate %,Monthly Revenue,Entire Home Rentals,Entire Home Rentals %,Private Room Rentals,Private Room Rentals %,Shared Room Rentals,Shared Room Rentals %,Studio,Studio %,1 Bedroom,1 Bedroom %,2 Bedroom,2 Bedroom %,3 Bedroom,3 Bedroom %,4 Bedroom,4 Bedroom %,5+ Bedroom,5+ Bedroom %,Air Conditioning,Heating,Washer,Dryer,Kitchen,Parking,Internet,Cable TV,Pool,Hot Tub,Q1 19,Q2 19,Q3 19,Q4 19,2019 Growth %,Q1 20,Q2 20,2020 Growth %,181 - 270 Days Available,181 - 270 Days Available %,271 - 365 Days Available,271 - 365 Days Available %,181 - 270 Days Booked,181 - 270 Days Booked %,271 - 365 Days Booked,271 - 365 Days Booked %,Rental Activity Property Count,Accuracy,Check In,Cleanliness,Communication,Location,Value,Overall Rating,Map Url
Dallas,3605,81,125,65,1,3051,85,0,0,77,2,185,6,1599,52,747,24,318,10,114,4,88,3,94,88,89,94,94,84,97,24,53,9,4524,4831,5118,5359,18,4850,4351,-10,1071,17,714,11,564,9,75,1,1785,4.76,4.77,4.7,4.8,4.82,4.69,4.59,maps/dallas_20201121.png
Fort-Worth,1119,80,135,58,1,0,0,0,0,11,1,72,8,401,45,220,24,157,17,38,4,12,1,95,0,85,93,93,70,97,27,38,5,1156,1235,1405,1534,33,1478,1371,-7,360,22,247,15,154,9,13,1,607,4.81,4.81,4.76,4.83,4.86,4.75,4.62,maps/fort-worth_20201121.png
Plano,459,88,145,62,1,336,73,122,27,1,0,20,6,124,37,87,26,53,16,39,12,13,4,93,82,86,88,92,92,96,19,53,11,526,570,558,585,11,573,531,-7,103,18,52,9,35,6,5,1,155,4.8,4.82,4.72,4.83,4.92,4.75,4.68,maps/plano_20201121.png
Irving,369,78,130,63,1,0,0,0,0,38,10,11,5,79,39,53,26,25,12,21,10,16,8,95,0,84,86,93,90,98,22,41,8,417,445,468,538,29,525,503,-4,64,14,49,11,28,6,11,2,113,4.8,4.83,4.72,4.85,4.86,4.75,4.62,maps/irving_20201121.png
Arlington,339,64,160,55,1,251,74,0,0,8,2,5,2,73,29,71,28,57,23,31,12,14,6,96,93,81,89,90,92,95,26,33,11,538,557,581,590,10,522,475,-9,87,14,57,9,33,5,7,1,144,4.77,4.83,4.7,4.82,4.86,4.71,4.63,maps/arlington_20201121.png
Frisco,183,85,166,63,2,123,67,60,33,0,0,3,2,33,27,23,19,26,21,24,20,14,11,97,0,89,92,84,91,94,22,50,13,252,289,274,282,12,253,241,-5,45,19,36,16,34,15,0,0,81,4.84,4.86,4.77,4.87,4.93,4.82,4.76,maps/frisco_20201121.png
Grand Prairie,166,94,153,65,2,99,60,0,0,2,1,2,2,25,25,6,6,34,34,19,19,13,13,99,0,84,91,89,97,97,19,25,9,160,187,203,219,37,216,220,2,26,16,33,20,27,17,2,1,59,4.86,4.93,4.8,4.88,4.93,4.82,4.77,maps/grand-prairie_20201121.png
McKinney,169,97,145,68,1,120,71,0,0,4,2,11,9,23,19,31,26,39,33,14,12,2,2,99,0,85,94,89,96,96,19,29,13,206,211,239,227,10,202,197,-2,35,18,27,14,27,14,4,2,62,4.89,4.91,4.89,4.92,4.94,4.86,4.84,maps/mckinney_20201121.png
Denton,122,89,100,65,1,66,54,0,0,2,2,3,5,25,38,15,23,14,21,7,11,2,3,98,0,72,0,0,93,97,18,14,10,154,172,174,187,21,172,151,-12,0,0,24,20,19,16,1,1,24,4.83,4.9,4.79,4.89,4.92,4.85,4.77,maps/denton_20201121.png
Richardson,97,85,132,65,1,51,53,44,45,2,2,16,31,7,14,15,29,9,18,4,8,0,0,11,99,96,91,95,93,96,99,20,40,159,194,204,210,32,188,162,-14,24,22,17,15,13,12,2,2,68,4.81,4.84,4.78,4.85,4.89,4.74,4.68,maps/richardson_20201121.png
