Market,Active Rentals,Rental Demand Score,Average Daily Rate,Occupancy Rate %,Monthly Revenue,Entire Home Rentals,Entire Home Rentals %,Private Room Rentals,Private Room Rentals %,Shared Room Rentals,Shared Room Rentals %,Studio,Studio %,1 Bedroom,1 Bedroom %,2 Bedroom,2 Bedroom %,3 Bedroom,3 Bedroom %,4 Bedroom,4 Bedroom %,5+ Bedroom,5+ Bedroom %,Air Conditioning,Heating,Washer,Dryer,Kitchen,Parking,Internet,Cable TV,Pool,Hot Tub,Q1 19,Q2 19,Q3 19,Q4 19,2019 Growth %,Q1 20,Q2 20,2020 Growth %,2020 Q1 QoQ Growth,2020 Q2 QoQ Growth,181 - 270 Days Available,181 - 270 Days Available %,271 - 365 Days Available,271 - 365 Days Available %,Available Full Time %,181 - 270 Days Booked,181 - 270 Days Booked %,271 - 365 Days Booked,271 - 365 Days Booked %,Booked Full Time %,Rental Activity Property Count,Accuracy,Check In,Cleanliness,Communication,Location,Value,Overall Rating,Map Url
Dallas,3381,85,124,65,1780,2825,84,467,14,89,3,215,8,1288,46,778,28,333,12,120,4,91,3,97,89,88,93,93,86,96,27,53,9,4353,4589,4928,5182,19,5376,4860,-10,24%,6%,1206,20,874,14,34,588,10,70,1,11,2080,4.78,4.79,4.72,4.81,4.83,4.72,4.6,maps/dallas.png
Fort-Worth,1055,81,133,58,1782,823,78,220,21,12,1,86,10,279,34,231,28,164,20,44,5,19,2,96,96,84,92,93,75,97,31,34,5,1073,1166,1261,1420,32,1543,1484,-4,44%,27%,353,24,291,20,44,168,12,8,1,13,291,4.83,4.83,4.78,4.84,4.86,4.77,4.62,maps/fort-worth.png
Plano,441,82,145,61,1840,318,72,122,28,1,0,68,21,101,32,48,15,50,16,33,10,18,6,95,85,86,88,92,95,96,19,53,12,462,530,582,565,22,589,578,-2,27%,9%,112,21,53,10,31,41,8,5,1,9,165,4.82,4.84,4.75,4.84,4.93,4.77,4.68,maps/plano.png
Irving,390,86,138,67,1785,227,58,131,34,32,8,62,27,57,25,36,16,28,12,25,11,19,8,95,86,82,86,92,90,97,23,40,10,396,416,456,478,21,547,534,-2,38%,28%,52,12,48,11,23,19,4,11,3,7,190,4.82,4.84,4.73,4.85,4.86,4.76,4.61,maps/irving.png
Arlington,360,69,171,56,2100,283,79,64,18,13,4,14,5,91,32,68,24,56,20,36,13,18,6,97,94,83,90,90,92,94,28,34,11,514,539,561,580,13,581,513,-12,13%,-5%,151,25,71,12,37,34,6,4,1,7,222,4.81,4.85,4.75,4.87,4.87,4.77,4.66,maps/arlington.png
Frisco,188,86,164,61,2165,117,62,71,38,0,0,4,3,35,30,17,15,26,22,22,19,13,11,96,91,89,91,85,90,95,26,50,15,243,255,293,276,14,282,247,-12,16%,-3%,44,18,28,12,30,22,9,1,0.4,9.4,72,4.85,4.87,4.81,4.9,4.92,4.84,4.78,maps/frisco.png
Grand Prairie,164,92,142,61,1824,84,51,78,48,2,1,3,4,23,27,9,11,26,31,16,19,7,8,99,96,83,90,89,95,96,20,27,10,143,162,192,205,43,221,218,-1,55%,35%,27,18,27,18,36,20,13,4,3,16,54,4.86,4.92,4.81,4.9,4.94,4.82,4.78,maps/grand-prairie.png
McKinney,148,92,139,65,1912,99,67,48,32,1,1,11,11,18,18,20,20,34,34,14,14,2,2,98,95,84,93,87,94,95,22,24,12,200,211,220,244,22,229,205,-10,15%,-3%,38,21,27,15,36,25,14,2,1,15,102,4.88,4.92,4.88,4.92,4.95,4.85,4.82,maps/mckinney.png
Denton,123,80,97,60,1500,63,51,58,47,2,2,5,8,18,29,18,29,16,25,6,10,0,0,97,95,71,89,79,93,97,20,16,9,141,155,176,176,25,188,173,-8,33%,12%,33,28,25,21,49,17,15,2,2,17,49,4.86,4.92,4.8,4.9,4.91,4.85,4.79,maps/denton.png
Richardson,119,94,138,65,1815,65,55,53,45,1,1,5,8,20,31,10,15,16,25,7,11,7,11,98,95,91,95,92,95,99,21,40,12,138,160,196,204,48,208,186,-11,51%,16%,24,20,14,11,31,16,13,0,0,13,38,4.82,4.86,4.8,4.86,4.9,4.76,4.68,maps/richardson.png
