RegionName,State,Metro,CountyName,SizeRank,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,Last 12 Month Avg
Dallas,TX,Dallas-Fort Worth,Dallas,10,1040.5,1000,975,995,975,895,895,835,790,900,870,865,945,875,989,1015,975,937,1025,1011,1030,1075,1147,1059,1083,1083,1028,1098,1100,1050,1095,1112,1150,1159,1179,1144,1136,1164,1150,1177,1147,1115,1120,1150,1199,1198,1160,1130,1120,1158.5,1150,1168,1200,1200,1234,1200,1199,1199,1209,1259,1277,1250,1245,1265,1269,1242,1310,1275,1250,1210,1300,1290,1309,1306,1310,1319,1325,1350,1327,1297.583333
Fort-Worth,TX,Dallas-Fort Worth,Tarrant,16,,,,,,666,650,649.5,617,619,650,699,699,665,672,700,699,710,700,700,694,699,700,699,708,707,735,726,727,702,749,737,670,751,793,776,776,835,800,801.5,773,777,759,790,830,850,877.5,925,920,901.5,899,869,871,943.5,932,979.5,953,954,950,960.5,997,988,1027,1008,983,1050,1040,968.5,1005,938,1030,1025,1078,1210,1169,1214,1209,1219.5,1220,1107.166667
Arlington,TX,Dallas-Fort Worth,Tarrant,46,,,,,,,535.5,550,539,525,539,562.5,578.5,575,600,585,565,566,585,599,601,595,591,595,611,615,626,615,603,630,649.5,620,599,642,665,648.5,650,649,668,669,665,665,672.5,671,665,665,651,650,710,750,732,730,750,778,780,765,805,834,802.5,808.5,822,813,790,785,812,820,850,845,775,820,804.5,817.5,835,852.5,904.5,976,980,960,908.5,873.2083333
Plano,TX,Dallas-Fort Worth,Collin,62,,,794,799,796.5,755,794,770,775,800,810,793.5,804,815,788,790.5,823,807,810,840,830,843,883,874.5,854,858,891,899,882.5,874.5,889,905,904,899,899.5,892,904,925,929,968.5,946,927,904,890,939,951,967,930,920,952,960,980,1005,1026,1007.5,1039,1039.5,1035,1025,1050,1069,1039,1064,1080,1070,1085,1199.5,1129,1085,1070,1090.5,1109,1131,1135,1129,1170,1155,1155.5,1151,1125.833333
Garland,TX,Dallas-Fort Worth,Dallas,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766,727.5,725,670,661,657.5,678.5,685,685,662,666,650,665.5,677,706.5,739,742.5,759,759,738,744,727.5,803,777,910,950,935,1010,950,935,932.5,935,979,862,945,922.5,992,917.5,977.5,910,1005,1011,967,961,975,953.7916667
Irving,TX,Dallas-Fort Worth,Dallas,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295,1119,1055,1067,1040,999,1067.5,965,1049,987,1042.5,1072,1139,1267,1211,1185,1167,1179,1247,1157,1070,1143.625
Grand Prairie,TX,Dallas-Fort Worth,Dallas,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854.5,951,975,985,995,1005,1015,1035,1030,1010,998,966.5,916.5,955,925,857,888,893.5,909,925,904.5,952,952,920.3333333
Mesquite,TX,Dallas-Fort Worth,Dallas,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795,763.5,773,755,763.5,813.5,836,833,833,810,833,809.5,801,802
McKinney,TX,Dallas-Fort Worth,Collin,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851,850,849.5,863,825,870,900,893,866,887,900,913.5,872.5,867.5,865,900,914,961,938,927,947.5,946,933,929,932,943.5,931.5,908,965,949.5,1017,1019.5,1000.5,904.5,991.5,953,953,975.5,995,1010,1025,1020,1021,1005,1030,990.2916667
Frisco,TX,Dallas-Fort Worth,Collin,139,,,,,,,,,,,,,,,825,890,889,875,899,929,905.5,865,895,912.5,915,905,900,905.5,918,915,899,895,993.5,949,957.5,939,929,969.5,896.5,985,1065,879,881.5,889,1024.5,1047,1048,900,892.5,939,985,1042,1050,1072,1070,1064.5,1025,1025,1050,1065,1074,1084,1136,1116,1129,1146,1145,1184,1089,1184,1229,1219,1229,1219,1195,1194,1175,1195,1220,1194.333333
Carrollton,TX,Dallas-Fort Worth,Denton,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010,1056,1029,1076,1090,1076,1078,1084,1100,1061.5,1018,1070.5,1071,1090,1091,1090,1035.5,1050,1008,1064.125
Denton,TX,Dallas-Fort Worth,Denton,148,,,,,,,,625,627,650,650,680,682,645,670,686,690,629,657.5,681,665,627,674,650,674,682,743,743,743,743,743,743,743,743,743,719,724,729,742,743,740.5,739,743,755,795,782,800,794.5,762.5,743,743,743,743,750,743,738.5,743,743,760.5,750,756,750,762,807,772.5,745,755,755,750,832.5,826.5,909,942,849.5,885,861,840,885,878,851.125
Lewisville,TX,Dallas-Fort Worth,Denton,161,,,,,,,,700.5,699,714,716,715.5,730,699,730,725,725,700,699.5,690,700,711.5,749,721.5,763,765,773,747.5,769,769.5,820,822.5,825,805,795,780,790,810,832.5,835,781,839,839,812,810.5,779.5,819.5,789,760,780.5,826,870,883,877,885,875,920,985.5,927,894,891,905,939,975,970,966.5,995,957.5,1050,1005,940,950,977,1005,1017,1045,1020,1018,929,992.7916667
Richardson,TX,Dallas-Fort Worth,Dallas,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.5,1059,1082.5,1080,1110,1070,1084,1095,1196,1177,1159,1175,1222.5,1200,1221.5,1124.5,1177,1256.5,1194,1205,1210,1318,1150,1286.5,1255,1300,1255,1310,1350,1333,1335,1335,1286.458333
Euless,TX,Dallas-Fort Worth,Tarrant,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798,821.5,835,837.5,848,830,741,760,752,791,809,840,815,902.5,890,896,925,924,921,876,980,1015,981,988,1049,1005,1027,1050,1002.5,984.875
Grapevine,TX,Dallas-Fort Worth,Tarrant,248,,,,,,,,817,830,795,830,900,905,830,941,965,864,908,908,975,985,982.5,911.5,929.5,923,944.5,956,983,1021,1023,940,985,969,979,999,1077,1059,1087,1094,1064.5,1039,1029,1055,1069.5,1059,1045,1056,1053,1044.5,1100,1169,1200,1169,1164.5,1183,1179,1166,1159,1119,1134,1199,1199,1219,1299,1279,1229,1289,1179,1194,1226.5,1274,1259,1200,1269,1315,1310,1322.5,1319.5,1310,1264.875
Hurst,TX,Dallas-Fort Worth,Tarrant,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.5,625,675,682,667,701,713,713.5,699,699,703,738.5,756,752.5,725.5,713,708,736,731,749,720.5,737,756,757.5,757.5,784,810,799,790,784,764.625
Addison,TX,Dallas-Fort Worth,Dallas,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,900,1015,1015,1010,1004.5,1087,1084,1097,1122.5,1082,1135,1097.5,1035,1067,1069,1125,1112,1122,1117,1117,1184,1183,1193,1144,1193,1171.5,1160.5,1172,1089,1140,1255,1245,1191,1248,1223,1099,1205,1229,1249,1211,1140,1280,1281,1203.5,1204,1251,1258,1269.5,1271.5,1260,1239.875
All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1047.606481
