county,dem_votes
ANDERSON,3162
ANDREWS,656
ANGELINA,6706
ARANSAS,2021
ARCHER,310
ARMSTRONG,57
ATASCOSA,7138
AUSTIN,2047
BAILEY,354
BANDERA,1896
BASTROP,11202
BAYLOR,131
BEE,2862
BELL,38058
BLANCO,1514
BORDEN,13
BOSQUE,1294
BOWIE,7534
BRAZORIA,42181
BRAZOS,24367
BREWSTER,2041
BRISCOE,57
BROOKS,1508
BROWN,1448
BURLESON,1351
BURNET,4138
CALDWELL,5268
CALHOUN,1767
CALLAHAN,519
CAMERON,50226
CARSON,197
CASS,1960
CASTRO,381
CHAMBERS,2787
CHEROKEE,3186
CHILDRESS,201
CLAY,458
COCHRAN,125
COKE,109
COLEMAN,326
COLLIN,150918
COLLINGSWORTH,91
COLORADO,1730
COMAL,16326
COMANCHE,671
CONCHO,132
CORYELL,4859
COTTLE,87
CRANE,234
CROCKETT,333
CROSBY,382
CULBERSON,461
DALLAM,121
DALLAS,460156
DAWSON,678
DEAF SMITH,921
DELTA,310
DENTON,122377
DEWITT,1096
DICKENS,94
DIMMIT,2020
DONLEY,113
EASTLAND,751
ECTOR,7904
EDWARDS,144
EL PASO,138506
ELLIS,18022
ERATH,2202
FALLS,1381
FANNIN,1913
FAYETTE,2029
FISHER,306
FLOYD,415
FOARD,101
FORT BEND,135149
FRANKLIN,567
FREESTONE,1304
FRIO,1989
GALVESTON,42187
GARZA,172
GILLESPIE,2487
GLASSCOCK,28
GOLIAD,772
GONZALES,1309
GRAY,528
GRAYSON,10171
GREGG,10564
GRIMES,1895
GUADALUPE,19031
HALE,1725
HALL,140
HAMILTON,509
HANSFORD,99
HARDEMAN,145
HARRIS,675409
HARRISON,5959
HARTLEY,123
HASKELL,253
HAYS,43209
HEMPHILL,124
HENDERSON,4892
HIDALGO,110161
HILL,2329
HOCKLEY,1068
HOOD,4127
HOPKINS,2315
HOUSTON,1675
HOWARD,1606
HUDSPETH,386
HUNT,6335
IRION,78
JACK,265
JACKSON,763
JASPER,2213
JEFF DAVIS,448
JEFFERSON,36170
JIM HOGG,1163
JIM WELLS,5312
JOHNSON,11416
JONES,758
KARNES,1423
KAUFMAN,11205
KENDALL,4188
KENEDY,94
KENT,31
KERR,5212
KIMBLE,170
KING,3
KINNEY,337
KLEBERG,4379
KNOX,204
LAMAR,3384
LAMB,635
LAMPASAS,1502
LASALLE,861
LAVACA,920
LEE,1215
LEON,765
LIBERTY,4301
LIMESTONE,1578
LIPSCOMB,95
LIVE OAK,614
LLANO,1928
LOVING,9
LUBBOCK,28293
LYNN,295
MADISON,732
MARION,993
MARTIN,201
MASON,364
MATAGORDA,2755
MAVERICK,7416
MCCULLOCH,353
MCLENNAN,25906
MCMULLEN,167
MEDINA,4207
MENARD,123
MIDLAND,7976
MILAM,1906
MITCHELL,263
MONTAGUE,810
MONTGOMERY,44759
MOORE,697
MORRIS,1211
MOTLEY,39
NACOGDOCHES,7075
NAVARRO,3780
NEWTON,996
NOLAN,808
NUECES,44692
OCHILTREE,184
OLDHAM,58
ORANGE,4807
PALO PINTO,1675
PANOLA,1559
PARMER,351
PECOS,1311
POLK,3768
POTTER,6471
PRESIDIO,1204
RAINS,678
RANDALL,7705
REAGAN,150
REAL,252
RED RIVER,946
REEVES,1313
REFUGIO,842
ROBERTS,16
ROBERTSON,1838
ROCKWALL,10248
RUNNELS,324
SABINE,487
SAN AUGUSTINE,726
SAN JACINTO,1640
SAN PATRICIO,6533
SAN SABA,220
SCHLEICHER,194
SCURRY,578
SHACKELFORD,86
SHELBY,1467
SHERMAN,69
SMITH,21606
SOMERVELL,577
STARR,9151
STEPHENS,289
STERLING,30
STONEWALL,92
SWISHER,372
TARRANT,286967
TAYLOR,9199
TERRELL,171
TERRY,552
THROCKMORTON,67
TITUS,2080
TOM GREEN,8053
TRAVIS,340346
TRINITY,898
TYLER,1047
UPSHUR,2243
UPTON,177
UVALDE,3327
VAL VERDE,5544
VAN ZANDT,2490
WALKER,5527
WALLER,6048
WARD,829
WASHINGTON,2912
WEBB,42698
WHARTON,3532
WHEELER,115
WICHITA,8362
WILBARGER,686
WILLACY,2868
WILLIAMSON,103155
WILSON,7097
WINKLER,322
WISE,3299
WOOD,2550
YOAKUM,305
ZAPATA,1828
ZAVALA,2270
